App,Test,Name,PO?,Group,Lab,Exp,Time,LOC,PO Time,# Test Cases Implemented,% over all,Total Time,Total Time h,Time 1x,Time 10x,Time 10000x
Addressbook,Addressbook1,student_0,PO-No,C-Addressbook,first-day,msc-x,"1160,000","4,000","0,000","5,000","25,000","3611,000","1,003","1160,000","1160,000","1160,000"
Addressbook,Addressbook1,student_1,PO-No,C-Addressbook,first-day,msc-x,"402,000","4,000","0,000","16,000","80,000","5410,000","1,503","402,000","402,000","402,000"
Addressbook,Addressbook1,student_4,PO-No,A-Addressbook,second-day,msc-x,"341,000","7,000","0,000","11,000","55,000","3348,000","0,930","341,000","341,000","341,000"
Addressbook,Addressbook1,student_5,PO-No,A-Addressbook,second-day,msc-x,"418,000","3,000","0,000","19,000","95,000","5350,000","1,486","418,000","418,000","418,000"
Addressbook,Addressbook1,student_7,PO-No,A-Addressbook,second-day,msc-x,"409,000","10,000","0,000","10,000","50,000","3835,000","1,065","409,000","409,000","409,000"
Addressbook,Addressbook1,student_8,PO-No,C-Addressbook,first-day,msc-x,"995,000","2,000","0,000","11,000","55,000","5048,000","1,402","995,000","995,000","995,000"
Addressbook,Addressbook1,student_9,PO-No,C-Addressbook,first-day,msc-y,"914,000","18,000","0,000","10,000","50,000","4522,000","1,256","914,000","914,000","914,000"
Addressbook,Addressbook1,student_10,PO-No,A-Addressbook,second-day,msc-y,"874,000","10,000","0,000","18,000","90,000","9098,000","2,527","874,000","874,000","874,000"
Addressbook,Addressbook1,student_11,PO-No,C-Addressbook,first-day,msc-y,"69,000","5,000","0,000","7,000","35,000","6537,000","1,816","69,000","69,000","69,000"
Addressbook,Addressbook1,student_13,PO-No,A-Addressbook,second-day,msc-y,"1934,000","10,000","0,000","12,000","60,000","12749,000","3,541","1934,000","1934,000","1934,000"
Addressbook,Addressbook1,student_15,PO-No,C-Addressbook,first-day,msc-y,"0,000","9,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000","0,000"
Addressbook,Addressbook1,student_17,PO-No,A-Addressbook,second-day,msc-y,"856,000","7,000","0,000","13,000","65,000","8930,000","2,481","856,000","856,000","856,000"
Addressbook,Addressbook1,student_19,PO-No,C-Addressbook,first-day,phd,"1166,000","5,000","0,000","10,000","50,000","7770,000","2,158","1166,000","1166,000","1166,000"
Addressbook,Addressbook1,student_22,PO-No,C-Addressbook,first-day,phd,"619,000","12,000","0,000","16,000","80,000","5417,000","1,505","619,000","619,000","619,000"
Addressbook,Addressbook1,student_23,PO-No,C-Addressbook,first-day,phd,"618,000","4,000","0,000","10,000","50,000","8221,000","2,284","618,000","618,000","618,000"
Addressbook,Addressbook1,student_27,PO-No,A-Addressbook,second-day,phd,"605,000","6,000","0,000","12,000","60,000","4926,000","1,368","605,000","605,000","605,000"
Addressbook,Addressbook1,student_28,PO-No,A-Addressbook,second-day,phd,"492,000","5,000","0,000","20,000","100,000","10966,000","3,046","492,000","492,000","492,000"
Addressbook,Addressbook1,student_31,PO-No,A-Addressbook,second-day,phd,"853,000","11,000","0,000","12,000","60,000","6041,000","1,678","853,000","853,000","853,000"
Addressbook,Addressbook1,student_33,PO-No,A-Addressbook,second-day,phd,"851,000","7,000","0,000","18,000","90,000","10641,000","2,956","851,000","851,000","851,000"
Addressbook,Addressbook1,student_35,PO-No,A-Addressbook,second-day,phd,"547,000","14,000","0,000","17,000","85,000","8069,000","2,241","547,000","547,000","547,000"
Addressbook,Addressbook1,student_2,PO-Yes,B-AddressbookPO,second-day,msc-x,"1491,000","5,000","4201,000","5,000","25,000","6251,000","1,736","2331,200","1575,020","1491,084"
Addressbook,Addressbook1,student_3,PO-Yes,B-AddressbookPO,second-day,msc-x,"270,000","8,000","3636,000","9,000","45,000","6265,000","1,740","674,000","310,400","270,040"
Addressbook,Addressbook1,student_6,PO-Yes,D-AddressbookPO,first-day,msc-x,"476,000","8,000","2933,000","10,000","50,000","6454,000","1,793","769,300","505,330","476,029"
Addressbook,Addressbook1,student_12,PO-Yes,D-AddressbookPO,first-day,msc-y,"1404,000","9,000","5238,000","4,000","20,000","7407,000","2,058","2713,500","1534,950","1404,131"
Addressbook,Addressbook1,student_14,PO-Yes,B-AddressbookPO,second-day,msc-y,"415,000","4,000","5651,000","4,000","20,000","6522,000","1,812","1827,750","556,275","415,141"
Addressbook,Addressbook1,student_16,PO-Yes,B-AddressbookPO,second-day,msc-y,"518,000","3,000","5868,000","4,000","20,000","7071,000","1,964","1985,000","664,700","518,147"
Addressbook,Addressbook1,student_18,PO-Yes,B-AddressbookPO,second-day,msc-y,"546,000","6,000","4286,000","15,000","75,000","9914,000","2,754","831,733","574,573","546,029"
Addressbook,Addressbook1,student_20,PO-Yes,B-AddressbookPO,second-day,phd,"826,000","13,000","5484,000","13,000","65,000","11406,000","3,168","1247,846","868,185","826,042"
Addressbook,Addressbook1,student_21,PO-Yes,D-AddressbookPO,first-day,phd,"1494,000","9,000","4932,000","5,000","25,000","7652,000","2,126","2480,400","1592,640","1494,099"
Addressbook,Addressbook1,student_24,PO-Yes,B-AddressbookPO,second-day,phd,"455,000","5,000","3754,000","20,000","100,000","10914,000","3,032","642,700","473,770","455,019"
Addressbook,Addressbook1,student_25,PO-Yes,B-AddressbookPO,second-day,phd,"246,000","8,000","7650,000","19,000","95,000","11633,000","3,231","648,632","286,263","246,040"
Addressbook,Addressbook1,student_26,PO-Yes,B-AddressbookPO,second-day,phd,"582,000","8,000","8551,000","15,000","75,000","13810,000","3,836","1152,067","639,007","582,057"
Addressbook,Addressbook1,student_29,PO-Yes,D-AddressbookPO,first-day,phd,"698,000","5,000","4713,000","5,000","25,000","7473,000","2,076","1640,600","792,260","698,094"
Addressbook,Addressbook1,student_30,PO-Yes,B-AddressbookPO,second-day,phd,"179,000","11,000","2904,000","20,000","100,000","8100,000","2,250","324,200","193,520","179,015"
Addressbook,Addressbook1,student_32,PO-Yes,D-AddressbookPO,first-day,phd,"1524,000","7,000","7401,000","8,000","40,000","10965,000","3,046","2449,125","1616,513","1524,093"
Addressbook,Addressbook1,student_34,PO-Yes,B-AddressbookPO,second-day,phd,"402,000","8,000","5940,000","20,000","100,000","11389,000","3,164","699,000","431,700","402,030"
Addressbook,Addressbook2,student_0,PO-No,C-Addressbook,first-day,msc-x,"831,000","7,000","0,000","5,000","25,000","3611,000","1,003","831,000","831,000","831,000"
