Participant,Q1,Q2,Q3,Q4,Q5
student_22,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral
student_34,Disagree,Disagree,Agree,Agree,Agree
student_27,Disagree,Disagree,Agree,Agree,Agree
student_30,Disagree,Neutral,Disagree,Agree,Strongly agree
student_28,Agree,Neutral,Neutral,Agree,Agree
student_26,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Strongly agree
student_23,Neutral,Disagree,Agree,Agree,Agree
student_32,Disagree,Neutral,Neutral,Agree,Strongly agree
student_20,Neutral,Disagree,Neutral,Strongly agree,Strongly agree
student_21,Disagree,Agree,Disagree,Disagree,Strongly disagree
student_31,Agree,Agree,Agree,Strongly agree,Strongly agree
student_24,Disagree,Neutral,Disagree,Agree,Agree
student_19,Disagree,Disagree,Agree,Strongly agree,Agree
student_33,Agree,Disagree,Disagree,Strongly agree,Strongly agree
student_25,Strongly disagree,Agree,Strongly disagree,Strongly agree,Agree
student_35,Agree,Agree,Agree,Neutral,Agree
student_29,Agree,Agree,Agree,Strongly agree,Agree
